Parameters transmitter:
Bitrate: 960
Baudrate: 240
Bits per symbol: 4
Modulation: DP_QPSK
N bits: 32768
N samples: 65536
N samples per bits: 2
N samples per sym: 8
N symbols: 8192
df: 2.92969e+07
dt: 5.20833e-13

f[i] ; t[i] 
-9.6e+11;0
-9.59971e+11;5.20833e-13
-9.59941e+11;1.04167e-12
-9.59912e+11;1.5625e-12
-9.59883e+11;2.08333e-12
-9.59854e+11;2.60417e-12
-9.59824e+11;3.125e-12
-9.59795e+11;3.64583e-12
-9.59766e+11;4.16667e-12
-9.59736e+11;4.6875e-12
-9.59707e+11;5.20833e-12
-9.59678e+11;5.72917e-12
-9.59648e+11;6.25e-12
-9.59619e+11;6.77083e-12
-9.5959e+11;7.29167e-12
-9.59561e+11;7.8125e-12
-9.59531e+11;8.33333e-12
-9.59502e+11;8.85417e-12
-9.59473e+11;9.375e-12
-9.59443e+11;9.89583e-12
-9.59414e+11;1.04167e-11
-9.59385e+11;1.09375e-11
-9.59355e+11;1.14583e-11
-9.59326e+11;1.19792e-11
-9.59297e+11;1.25e-11
-9.59268e+11;1.30208e-11
-9.59238e+11;1.35417e-11
-9.59209e+11;1.40625e-11
-9.5918e+11;1.45833e-11
-9.5915e+11;1.51042e-11
-9.59121e+11;1.5625e-11
-9.59092e+11;1.61458e-11
-9.59062e+11;1.66667e-11
-9.59033e+11;1.71875e-11
-9.59004e+11;1.77083e-11
-9.58975e+11;1.82292e-11
-9.58945e+11;1.875e-11
-9.58916e+11;1.92708e-11
-9.58887e+11;1.97917e-11
-9.58857e+11;2.03125e-11
-9.58828e+11;2.08333e-11
-9.58799e+11;2.13542e-11
-9.5877e+11;2.1875e-11
-9.5874e+11;2.23958e-11
-9.58711e+11;2.29167e-11
-9.58682e+11;2.34375e-11
-9.58652e+11;2.39583e-11
-9.58623e+11;2.44792e-11
-9.58594e+11;2.5e-11
-9.58564e+11;2.55208e-11
-9.58535e+11;2.60417e-11
-9.58506e+11;2.65625e-11
-9.58477e+11;2.70833e-11
-9.58447e+11;2.76042e-11
-9.58418e+11;2.8125e-11
-9.58389e+11;2.86458e-11
-9.58359e+11;2.91667e-11
-9.5833e+11;2.96875e-11
-9.58301e+11;3.02083e-11
-9.58271e+11;3.07292e-11
-9.58242e+11;3.125e-11
-9.58213e+11;3.17708e-11
-9.58184e+11;3.22917e-11
-9.58154e+11;3.28125e-11
-9.58125e+11;3.33333e-11
-9.58096e+11;3.38542e-11
-9.58066e+11;3.4375e-11
-9.58037e+11;3.48958e-11
-9.58008e+11;3.54167e-11
-9.57979e+11;3.59375e-11
-9.57949e+11;3.64583e-11
-9.5792e+11;3.69792e-11
-9.57891e+11;3.75e-11
-9.57861e+11;3.80208e-11
-9.57832e+11;3.85417e-11
-9.57803e+11;3.90625e-11
-9.57773e+11;3.95833e-11
-9.57744e+11;4.01042e-11
-9.57715e+11;4.0625e-11
-9.57686e+11;4.11458e-11
-9.57656e+11;4.16667e-11
-9.57627e+11;4.21875e-11
-9.57598e+11;4.27083e-11
-9.57568e+11;4.32292e-11
-9.57539e+11;4.375e-11
-9.5751e+11;4.42708e-11
-9.5748e+11;4.47917e-11
-9.57451e+11;4.53125e-11
-9.57422e+11;4.58333e-11
-9.57393e+11;4.63542e-11
-9.57363e+11;4.6875e-11
-9.57334e+11;4.73958e-11
-9.57305e+11;4.79167e-11
-9.57275e+11;4.84375e-11
-9.57246e+11;4.89583e-11
-9.57217e+11;4.94792e-11
-9.57188e+11;5e-11
-9.57158e+11;5.05208e-11
-9.57129e+11;5.10417e-11
-9.571e+11;5.15625e-11
-9.5707e+11;5.20833e-11
-9.57041e+11;5.26042e-11
-9.57012e+11;5.3125e-11
-9.56982e+11;5.36458e-11
-9.56953e+11;5.41667e-11
-9.56924e+11;5.46875e-11
-9.56895e+11;5.52083e-11
-9.56865e+11;5.57292e-11
-9.56836e+11;5.625e-11
-9.56807e+11;5.67708e-11
-9.56777e+11;5.72917e-11
-9.56748e+11;5.78125e-11
-9.56719e+11;5.83333e-11
-9.56689e+11;5.88542e-11
-9.5666e+11;5.9375e-11
-9.56631e+11;5.98958e-11
-9.56602e+11;6.04167e-11
-9.56572e+11;6.09375e-11
-9.56543e+11;6.14583e-11
-9.56514e+11;6.19792e-11
-9.56484e+11;6.25e-11
-9.56455e+11;6.30208e-11
-9.56426e+11;6.35417e-11
